OBJECTID,Folder,Image,Object,Confidence,frame_idx,Latitude,Longitude,Photo_Link,Field9,Field10,Field11,Field12,Z
1,,image0.jpg,Clear,0,0,31.09017167,29.96833,C:\Road_Project\inference_data\nan\image0.jpg,,,,,127.4
2,,image1.jpg,Clear,0,1,31.09016,29.96829833,C:\Road_Project\inference_data\nan\image1.jpg,,,,,127.4
3,,image2.jpg,Clear,0,2,31.09015167,29.96826667,C:\Road_Project\inference_data\nan\image2.jpg,,,,,127.2
4,,image3.jpg,Clear,0,3,31.090145,29.96823333,C:\Road_Project\inference_data\nan\image3.jpg,,,,,127.2
5,,image4.jpg,Clear,0,4,31.09014,29.96819833,C:\Road_Project\inference_data\nan\image4.jpg,,,,,127.2
6,,image5.jpg,Clear,0,5,31.090135,29.96816167,C:\Road_Project\inference_data\nan\image5.jpg,,,,,126.9
7,,image6.jpg,Clear,0,6,31.09013,29.96811833,C:\Road_Project\inference_data\nan\image6.jpg,,,,,126.9
8,,image7.jpg,Clear,0,7,31.09012667,29.96807167,C:\Road_Project\inference_data\nan\image7.jpg,,,,,126.9
9,,image8.jpg,Clear,0,8,31.090125,29.96802333,C:\Road_Project\inference_data\nan\image8.jpg,,,,,126.8
10,,image9.jpg,Clear,0,9,31.09011833,29.96796667,C:\Road_Project\inference_data\nan\image9.jpg,,,,,127.1
11,,image10.jpg,Clear,0,10,31.09011333,29.96790833,C:\Road_Project\inference_data\nan\image10.jpg,,,,,127.3
12,,image11.jpg,Clear,0,11,31.09010667,29.96784667,C:\Road_Project\inference_data\nan\image11.jpg,,,,,127.5
13,,image12.jpg,Clear,0,12,31.0901,29.96778333,C:\Road_Project\inference_data\nan\image12.jpg,,,,,127.9
14,,image13.jpg,Clear,0,13,31.090085,29.96771833,C:\Road_Project\inference_data\nan\image13.jpg,,,,,127.6
15,,image14.jpg,Clear,0,14,31.09007667,29.96765167,C:\Road_Project\inference_data\nan\image14.jpg,,,,,127.5
16,,image15.jpg,Clear,0,15,31.09006667,29.96758833,C:\Road_Project\inference_data\nan\image15.jpg,,,,,127.9
17,,image16.jpg,Clear,0,16,31.09006,29.96753333,C:\Road_Project\inference_data\nan\image16.jpg,,,,,128.2
18,,image17.jpg,Clear,0,17,31.09005333,29.967485,C:\Road_Project\inference_data\nan\image17.jpg,,,,,128.2
19,,image18.jpg,Crack,0.3332991,18,31.09004833,29.96744333,C:\Road_Project\inference_data\nan\image18.jpg,,,,,128.2
20,,image19.jpg,Clear,0,19,31.09004333,29.96741333,C:\Road_Project\inference_data\nan\image19.jpg,,,,,128.3
21,,image20.jpg,Clear,0,20,31.09004333,29.96739333,C:\Road_Project\inference_data\nan\image20.jpg,,,,,128
22,,image21.jpg,Clear,0,21,31.09004167,29.96737333,C:\Road_Project\inference_data\nan\image21.jpg,,,,,127.9
23,,image22.jpg,Clear,0,22,31.09004333,29.967355,C:\Road_Project\inference_data\nan\image22.jpg,,,,,128
24,,image23.jpg,Clear,0,23,31.09004333,29.967335,C:\Road_Project\inference_data\nan\image23.jpg,,,,,128
25,,image24.jpg,Clear,0,24,31.09004333,29.96731167,C:\Road_Project\inference_data\nan\image24.jpg,,,,,128
26,,image25.jpg,Clear,0,25,31.090045,29.96728167,C:\Road_Project\inference_data\nan\image25.jpg,,,,,127.7
27,,image26.jpg,Clear,0,26,31.090045,29.967245,C:\Road_Project\inference_data\nan\image26.jpg,,,,,127.2
28,,image27.jpg,Crack,0.337745547,27,31.09003833,29.96719333,C:\Road_Project\inference_data\nan\image27.jpg,,,,,126.2
29,,image28.jpg,Clear,0,28,31.09003667,29.96713833,C:\Road_Project\inference_data\nan\image28.jpg,,,,,125.1
30,,image29.jpg,Clear,0,29,31.09003333,29.96707,C:\Road_Project\inference_data\nan\image29.jpg,,,,,124.1
31,,image30.jpg,Clear,0,30,31.090025,29.966995,C:\Road_Project\inference_data\nan\image30.jpg,,,,,123.5
32,,image31.jpg,Clear,0,31,31.09001667,29.96691667,C:\Road_Project\inference_data\nan\image31.jpg,,,,,123.1
33,,image32.jpg,Clear,0,32,31.09001,29.96683167,C:\Road_Project\inference_data\nan\image32.jpg,,,,,123.5
34,,image33.jpg,Clear,0,33,31.09000333,29.96674,C:\Road_Project\inference_data\nan\image33.jpg,,,,,123.4
35,,image34.jpg,Clear,0,34,31.089995,29.96664167,C:\Road_Project\inference_data\nan\image34.jpg,,,,,123.4
36,,image35.jpg,Clear,0,35,31.08998833,29.96654167,C:\Road_Project\inference_data\nan\image35.jpg,,,,,123.7
37,,image36.jpg,Clear,0,36,31.08997833,29.96644167,C:\Road_Project\inference_data\nan\image36.jpg,,,,,124.2
38,,image37.jpg,Clear,0,37,31.08996833,29.966335,C:\Road_Project\inference_data\nan\image37.jpg,,,,,124.5
39,,image38.jpg,Clear,0,38,31.08996167,29.96622667,C:\Road_Project\inference_data\nan\image38.jpg,,,,,125.2
40,,image39.jpg,Clear,0,39,31.08995167,29.96612,C:\Road_Project\inference_data\nan\image39.jpg,,,,,126.3
41,,image40.jpg,Clear,0,40,31.08994333,29.96601167,C:\Road_Project\inference_data\nan\image40.jpg,,,,,125
42,,image41.jpg,Crack,0.231955722,41,31.08993167,29.96590333,C:\Road_Project\inference_data\nan\image41.jpg,,,,,124.4
43,,image42.jpg,Clear,0,42,31.08991833,29.96579333,C:\Road_Project\inference_data\nan\image42.jpg,,,,,123.6
44,,image43.jpg,Clear,0,43,31.08990167,29.96568667,C:\Road_Project\inference_data\nan\image43.jpg,,,,,122.4
45,,image44.jpg,Clear,0,44,31.08988833,29.96558667,C:\Road_Project\inference_data\nan\image44.jpg,,,,,121.5
46,,image45.jpg,Clear,0,45,31.08987333,29.9655,C:\Road_Project\inference_data\nan\image45.jpg,,,,,121.4
47,,image46.jpg,Clear,0,46,31.089865,29.96542833,C:\Road_Project\inference_data\nan\image46.jpg,,,,,122
48,,image47.jpg,Clear,0,47,31.08986167,29.96537,C:\Road_Project\inference_data\nan\image47.jpg,,,,,121.8
49,,image48.jpg,Clear,0,48,31.08985,29.96530833,C:\Road_Project\inference_data\nan\image48.jpg,,,,,121.8
50,,image49.jpg,Clear,0,49,31.08984,29.96524167,C:\Road_Project\inference_data\nan\image49.jpg,,,,,122.1
51,,image50.jpg,Clear,0,50,31.08983,29.965165,C:\Road_Project\inference_data\nan\image50.jpg,,,,,122.2
52,,image51.jpg,Clear,0,51,31.08982333,29.965085,C:\Road_Project\inference_data\nan\image51.jpg,,,,,121.9
53,,image52.jpg,Clear,0,52,31.08981667,29.96499833,C:\Road_Project\inference_data\nan\image52.jpg,,,,,121.3
54,,image53.jpg,Clear,0,53,31.08980333,29.96490333,C:\Road_Project\inference_data\nan\image53.jpg,,,,,120.9
55,,image54.jpg,Clear,0,54,31.08979167,29.96480833,C:\Road_Project\inference_data\nan\image54.jpg,,,,,119.9
56,,image55.jpg,Clear,0,55,31.08978333,29.964705,C:\Road_Project\inference_data\nan\image55.jpg,,,,,119.4
57,,image56.jpg,Clear,0,56,31.08977333,29.96459833,C:\Road_Project\inference_data\nan\image56.jpg,,,,,119.7
58,,image57.jpg,Clear,0,57,31.08975667,29.964485,C:\Road_Project\inference_data\nan\image57.jpg,,,,,120
59,,image58.jpg,Clear,0,58,31.08974333,29.96437167,C:\Road_Project\inference_data\nan\image58.jpg,,,,,120.6
